taxid,desc,superkingdom,phylum,class,order,family,CD/HE,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max,CD,UC,HE,CD/HE
33958,Lactobacillaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,86.84019312,0.002108,0.002054,0.002798,0.003713,0.002432,0.002404,0.001325,0.538006,0.68428,0.000795,0.000385,0.000421,0.001357,0.001158,0.534245,0.006358,0.55304,0.008993,0.013759,0.001775,0.000405,0.001279,0.002835,0.000484,0.000029,0.000138,0.000539,0.000352,0.000634,0.000827,0.00339,0.002361,0.001134,0.003313,0.000459,0.000133,0.001291,0.0037,0.003087,0.000129,0.000229,0.000054,0.001574,0.003196,0.001478,0.002371,0.004202,0.001304,0.002934,0.000633,0.001309,0.000251,0.001336,0.003218,0.00343,0.00217,0.000202,0.000637,0.001736,0.002206,0.006087,0.000226,0.68428,0.156417067,0.0007295,0.001801206,86.84019312
31953,Bifidobacteriaceae,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,50.93342053,0.007795,0.016314,0.013337,0.004283,0.149119,0.005301,0.005981,0.133948,0.077081,0.044644,0.622762,0.571289,0.28468,0.000336,0.197765,0.001797,0.040164,0.025184,0.136405,0.011836,0.221956,0.069744,0.003304,0.00017,0.00001,0.000082,0.000301,0.000076,0.000668,0.000555,0.001012,0.00245,0.000934,0.002668,0.000223,0.000753,0.001035,0.000652,0.002871,0.000774,0.000945,0.000394,0.000604,0.003885,0.001161,0.003052,0.004974,0.001107,0.002254,0.002698,0.00117,0.000335,0.000796,0.001338,0.017131,0.023594,0.000709,0.001215,0.010035,0.005992,0.010443,0.000141,0.622762,0.1626394,0.000657167,0.003193176,50.93342053
2049,Actinomycetaceae,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,46.70013448,0.002683,0.013222,0.004049,0.002376,0.102076,0.000786,0.005212,0.001475,0.000709,0.016034,0.004867,0.005065,0.003268,0.002433,0.001335,0.008221,0.000466,0.004265,0.008026,0.010698,0.022238,0.074323,0.00056,0.0002,0.000003,0.000004,0.000188,0.000183,0.00017,0.000169,0.00036,0.000146,0.000092,0.000514,0.000059,0.000068,0.000089,0.000139,0.000263,0.000025,0.00002,0.000005,0.000197,0.000515,0.000259,0.000601,0.00059,0.000161,0.00028,0.000076,0.000162,0.000119,0.000248,0.000369,0.000524,0.000078,0.000045,0.000181,0.000439,0.000517,0.000314,0.000138,0.102076,0.010894867,0.000189667,0.000233294,46.70013448
84107,Coriobacteriaceae,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,36.98174868,0.01727,0.09981,0.026525,0.038725,0.070225,0.02781,0.026254,0.021043,0.016421,0.293808,0.004534,0.009291,0.01086,0.000852,0.027042,0.002906,0.022421,0.168446,0.248463,0.084845,0.436653,0.149099,0.000133,0.000111,0.000002,0.000007,0.000204,0.00012,0.001217,0.003599,0.001549,0.001078,0.000749,0.002138,0.000215,0.000403,0.000909,0.001249,0.003851,0.000316,0.000066,0.000066,0.006084,0.004904,0.005304,0.004822,0.008775,0.001301,0.004206,0.001724,0.002135,0.00061,0.000868,0.001405,0.001713,0.004578,0.001086,0.001029,0.009014,0.009395,0.005115,0.000261,0.436653,0.099778933,9.61667E-05,0.002698059,36.98174868
81852,Enterococcaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,15.73153981,0.000617,0.001484,0.00191,0.001707,0.001122,0.004809,0.002151,0.000674,0.000643,0.015506,0.00301,0.009217,0.008828,0.039441,0.000917,0.135608,0.000564,0.001865,0.008528,0.05709,0.006901,0.002725,0.00376,0.00065,0.000055,0.000118,0.00072,0.000381,0.00037,0.000511,0.001405,0.001193,0.000588,0.002517,0.00058,0.000362,0.000353,0.002126,0.001976,0.000091,0.000143,0.00005,0.000815,0.002103,0.001031,0.002171,0.002781,0.000999,0.00135,0.000509,0.001215,0.000673,0.000834,0.001532,0.007615,0.000278,0.00018,0.000758,0.000799,0.001399,0.00223,0.000466,0.135608,0.019434467,0.000947333,0.001235382,15.73153981
1300,Streptococcaceae,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,13.69902075,0.024503,0.01515,0.029619,0.04192,0.018171,0.006697,0.008976,0.015713,0.004398,0.014088,0.021278,0.043186,0.092152,0.087573,0.019884,0.09693,0.002857,0.168661,0.007878,0.025499,0.01963,0.070891,0.007167,0.003285,0.000111,0.000099,0.056996,0.003195,0.001367,0.001564,0.008244,0.002949,0.002391,0.010415,0.000718,0.000295,0.001879,0.004657,0.008587,0.000555,0.001433,0.000343,0.002203,0.005196,0.002932,0.004694,0.006443,0.002081,0.005524,0.00478,0.001997,0.000703,0.002858,0.003256,0.008058,0.002056,0.000389,0.002885,0.003429,0.003929,0.004513,0.000948,0.168661,0.0460412,0.011808833,0.003360912,13.69902075
2092,Mycoplasmataceae,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,0.089143337,0.000689,0.00018,0.000151,0.00061,0.000284,0.000526,0.000219,0.000058,0.000022,0.000116,0.000016,0.000021,0.000492,0.000058,0.000023,0.000052,0.000046,0.000088,0.000063,0.000386,0.000089,0.000469,0.000667,0.00032,0.000015,0.000013,0.000134,0.000156,0.00044,0.000976,0.006202,0.003836,0.000969,0.003733,0.000245,0.000025,0.001119,0.005101,0.003706,0.000033,0.000069,0.000007,0.001659,0.002875,0.000941,0.000392,0.005966,0.000177,0.000599,0.000163,0.000767,0.000065,0.000352,0.003332,0.00069,0.00008,0.000069,0.000093,0.002196,0.002395,0.001439,0.000118,0.006202,0.000133267,0.0002175,0.001494971,0.089143337
712,Pasteurellaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,0.067827154,0.000238,0.000255,0.000251,0.000316,0.000393,0.000289,0.000395,0.000082,0.000065,0.000062,0.000057,0.000057,0.000156,0.0001,0.000049,0.000077,0.000074,0.000081,0.000039,0.000095,0.00003,0.000114,0.011448,0.032025,0.000512,0.000314,0.027291,0.002527,0.000578,0.000397,0.00133,0.000436,0.003259,0.000925,0.000396,0.000045,0.002743,0.000379,0.000774,0.002267,0.000302,0.000171,0.00034,0.000503,0.000274,0.000607,0.000777,0.000249,0.000568,0.01117,0.000377,0.000178,0.002163,0.003001,0.000545,0.000756,0.0002,0.000183,0.000272,0.000473,0.000993,0.000399,0.032025,7.58667E-05,0.012352833,0.001118529,0.067827154
772,Bartonellaceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,0.056000803,0.000048,0.000025,0.00003,0.000034,0.000031,0.000038,0.000023,0.000003,0.000002,0.000004,0.000012,0.000008,0.000015,0.000001,0.000004,0.000002,0.000002,0.000003,0.000002,0.000006,0.000004,0.000014,0.000119,0.000007,0,0,0.000012,0.000012,0.000021,0.00003,0.000066,0.000061,0.000032,0.000078,0.000004,0.000004,0.000013,0.000092,0.000086,0.000003,0.000098,0.000001,0.000039,0.000085,0.000032,0.00005,0.000066,0.000075,0.000071,0.000006,0.00003,0.00001,0.000589,0.001401,0.00005,0.000006,0.000004,0.000009,0.000035,0.000059,0.000109,0.000004,0.001401,5.46667E-06,0.000025,9.76176E-05,0.056000803
433,Acetobacteraceae,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,0.049046257,0.000104,0.000146,0.000145,0.000092,0.00037,0.000121,0.000174,0.000015,0.00001,0.000004,0.000005,0.000009,0.000014,0.000002,0.000014,0.000003,0.000015,0.000011,0.000003,0.000005,0.000003,0.000008,0.000137,0.000018,0.000001,0.000002,0.000009,0.000014,0.000082,0.000039,0.00009,0.000041,0.000042,0.000059,0.000011,0.000007,0.000028,0.00004,0.000063,0.000005,0.000142,0.000001,0.000042,0.000078,0.000046,0.000082,0.000104,0.000167,0.000074,0.00001,0.000038,0.000018,0.001164,0.002571,0.000042,0.000029,0.000008,0.00002,0.000067,0.000084,0.000292,0.000006,0.002571,8.06667E-06,3.01667E-05,0.000164471,0.049046257
