superkingdom,phylum,class,order,family,Max,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,0.1021,0.002683,0.013222,0.004049,0.002376,0.102076,0.000786,0.005212,0.001475,0.000709,0.016034,0.004867,0.005065,0.003268,0.002433,0.001335,0.008221,0.000466,0.004265,0.008026,0.010698,0.022238,0.074323,0.00056,0.0002,0.000003,0.000004,0.000188,0.000183,0.00017,0.000169,0.00036,0.000146,0.000092,0.000514,0.000059,0.000068,0.000089,0.000139,0.000263,0.000025,0.00002,0.000005,0.000197,0.000515,0.000259,0.000601,0.00059,0.000161,0.00028,0.000076,0.000162,0.000119,0.000248,0.000369,0.000524,0.000078,0.000045,0.000181,0.000439,0.000517,0.000314,0.000138,0.102076
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,0.0072,0.000148,0.000378,0.00036,0.000252,0.001006,0.000232,0.00037,0.000135,0.000118,0.000394,0.000551,0.000475,0.000306,0.000037,0.000174,0.000079,0.000146,0.000172,0.000205,0.000352,0.000307,0.000811,0.007247,0.000021,0.000017,0.000134,0.000025,0.000018,0.000119,0.00007,0.000128,0.000092,0.000035,0.000257,0.000024,0.000031,0.000052,0.000064,0.000103,0.000022,0.000025,0.000003,0.000086,0.00016,0.000116,0.000225,0.000301,0.000056,0.000167,0.000026,0.000067,0.000045,0.000153,0.000252,0.000218,0.00004,0.00002,0.000063,0.000121,0.000167,0.000197,0.00002,0.007247
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,0.0044,0.000169,0.000129,0.000139,0.000084,0.000477,0.000336,0.000216,0.000042,0.000034,0.000011,0.000007,0.000009,0.00001,0.000004,0.000052,0.000005,0.000043,0.000011,0.000007,0.000008,0.000013,0.00005,0.004384,0.000649,0.000014,0.000039,0.001027,0.000122,0.000029,0.000014,0.000025,0.000019,0.000006,0.000038,0.000003,0.000004,0.00001,0.000021,0.000054,0,0.000002,0,0.00002,0.000031,0.000025,0.000035,0.000051,0.000014,0.000051,0.00001,0.000015,0.000013,0.000031,0.000061,0.000025,0.000012,0.000007,0.000013,0.000037,0.000048,0.000041,0.000017,0.004384
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,0.0028,0.00027,0.002762,0.000677,0.000372,0.001644,0.000176,0.000858,0.000166,0.000049,0.000308,0.000167,0.000194,0.000369,0.000033,0.00016,0.001172,0.000091,0.000152,0.000161,0.000215,0.000538,0.001643,0.000273,0.000021,0.000012,0.000005,0.00002,0.000025,0.000071,0.000035,0.000068,0.000045,0.000022,0.000104,0.000009,0.000015,0.000038,0.000028,0.000186,0.000003,0.000006,0.000001,0.000038,0.000107,0.000053,0.000118,0.000121,0.000039,0.000098,0.000017,0.000038,0.000025,0.000053,0.000107,0.000083,0.000027,0.000008,0.000034,0.000123,0.000084,0.000099,0.000027,0.002762
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,0.0013,0.000025,0.00006,0.000058,0.000029,0.000144,0.000044,0.000078,0.000014,0.000013,0.000005,0.000011,0.000012,0.000008,0.000001,0.000019,0.000002,0.000015,0.000002,0.000003,0.000005,0.000006,0.000017,0.001279,0,0.000002,0.000002,0,0.000001,0.000022,0.000013,0.000024,0.000015,0.000061,0.00002,0.000075,0.000026,0.000082,0.000072,0.00001,0.000001,0.000001,0.000001,0.000009,0.000022,0.000013,0.000172,0.000274,0.000123,0.000011,0.000013,0.000074,0.000185,0.000164,0.000126,0.000004,0.000008,0.000002,0.000007,0.000968,0.000021,0.000026,0.000001,0.001279
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,0.0865,0.00023,0.000246,0.000151,0.000183,0.002088,0.000098,0.000296,0.00003,0.000021,0.000073,0.000062,0.000056,0.000045,0.000009,0.000041,0.00002,0.000029,0.000026,0.000149,0.000108,0.000109,0.000454,0.086487,0.000024,0.000185,0.001402,0.000009,0.000007,0.000059,0.000037,0.000047,0.000047,0.000015,0.000045,0.000017,0.000199,0.000024,0.000026,0.000036,0.000101,0.000059,0.000005,0.00003,0.000049,0.000037,0.000135,0.000074,0.000025,0.000054,0.00003,0.000023,0.000017,0.00004,0.000042,0.000023,0.000035,0.000015,0.000025,0.000079,0.000062,0.000064,0.00003,0.086487
Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,0.6228,0.007795,0.016314,0.013337,0.004283,0.149119,0.005301,0.005981,0.133948,0.077081,0.044644,0.622762,0.571289,0.28468,0.000336,0.197765,0.001797,0.040164,0.025184,0.136405,0.011836,0.221956,0.069744,0.003304,0.00017,0.00001,0.000082,0.000301,0.000076,0.000668,0.000555,0.001012,0.00245,0.000934,0.002668,0.000223,0.000753,0.001035,0.000652,0.002871,0.000774,0.000945,0.000394,0.000604,0.003885,0.001161,0.003052,0.004974,0.001107,0.002254,0.002698,0.00117,0.000335,0.000796,0.001338,0.017131,0.023594,0.000709,0.001215,0.010035,0.005992,0.010443,0.000141,0.622762
Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,0.4367,0.01727,0.09981,0.026525,0.038725,0.070225,0.02781,0.026254,0.021043,0.016421,0.293808,0.004534,0.009291,0.01086,0.000852,0.027042,0.002906,0.022421,0.168446,0.248463,0.084845,0.436653,0.149099,0.000133,0.000111,0.000002,0.000007,0.000204,0.00012,0.001217,0.003599,0.001549,0.001078,0.000749,0.002138,0.000215,0.000403,0.000909,0.001249,0.003851,0.000316,0.000066,0.000066,0.006084,0.004904,0.005304,0.004822,0.008775,0.001301,0.004206,0.001724,0.002135,0.00061,0.000868,0.001405,0.001713,0.004578,0.001086,0.001029,0.009014,0.009395,0.005115,0.000261,0.436653
Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,0.003,0.000073,0.000065,0.000019,0.000234,0.000017,0.000072,0.000034,0.000003,0.00001,0.000034,0.000031,0.000016,0.000075,0.000011,0.000002,0.000022,0.000006,0.000007,0.000027,0.000198,0.000087,0.002995,0.000785,0.000199,0.000101,0.000036,0.001035,0.000225,0.000003,0.000039,0.000051,0.000009,0.000063,0.000032,0.000011,0.000017,0.000932,0.000165,0.000054,0.000001,0.000001,0,0.000156,0.000193,0.000058,0.000164,0.00042,0.000039,0.000049,0.0001,0.000161,0.000004,0.000209,0.000649,0.000084,0.000001,0.000001,0.000009,0.000139,0.000023,0.000004,0.000001,0.002995
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,0.9535,0.031522,0.016654,0.042307,0.028178,0.029513,0.257674,0.040497,0.011986,0.031153,0.002793,0.001576,0.000571,0.00104,0.007254,0.000563,0.001115,0.145369,0.002664,0.01535,0.002268,0.007132,0.0206,0.069767,0.570823,0.128954,0.201993,0.316838,0.709831,0.610566,0.554817,0.276125,0.638009,0.201624,0.251167,0.812168,0.841867,0.332846,0.479913,0.422755,0.927811,0.90793,0.953512,0.294953,0.14902,0.455193,0.216986,0.170802,0.377907,0.127556,0.641665,0.425513,0.508413,0.561787,0.556531,0.198001,0.656367,0.747018,0.624929,0.139259,0.261102,0.584113,0.848995,0.953512
