taxid,desc,superkingdom,phylum,class,order,family,genus,species,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,0.103199,0.099081,0.096903,0.065271,0.001651,0.029671,0.002061,0.009693,0.004983,0.000186,0.000901,0.002949,0.000042,0.015697,0.002509,0.002395,0.002924,0.011841,0.00017,0.000189,0.000042,0.002878,0.110043,0.055078,0.829911,0.741601,0.32537,0.076363,0.000022,0.000036,0.000162,0.000528,0.000026,0.000099,0.000152,0.000059,0.000053,0.000075,0.006032,0.001769,0.000753,0.000247,0.001494,0.000089,0.000068,0.000083,0.000073,0.000081,0.000304,0.000148,0.000531,0.000024,0.000093,0.000234,0.002155,0.00002,0.00009,0.000052,0.000352,0.000729,0.001001,0.001105
469613,Enterobacteriaceae bacterium 9_2_54FAA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,none,Enterobacteriaceae bacterium 9_2_54FAA,0.000005,0.000003,0.000004,0.000002,0.002722,0.000005,0.139174,0.000001,0.000001,0.000004,0,0,0.000001,0.000003,0,0.000001,0.000001,0.000001,0,0,0,0.000001,0.000009,0.000223,0.000006,0.000034,0.000004,0.000318,0.000003,0.000001,0.000001,0.000004,0.000002,0.000001,0.000001,0.000001,0.000001,0.000004,0.000003,0.000001,0.000001,0,0.000003,0.000008,0.000002,0.000002,0.000008,0.000001,0.000007,0,0.000001,0.000005,0.000007,0.000009,0.000009,0.000002,0,0.000001,0.000007,0.000002,0.000165,0.000001
40545,Sutterella wadsworthensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,0.004296,0.000066,0.000124,0.000057,0.000141,0.000164,0.000448,0.001635,0.005947,0.000001,0.000054,0.000081,0.000133,0.000007,0.000077,0.000002,0.023685,0.000118,0.000812,0.000003,0.000001,0.000009,0.000014,0.001803,0.000009,0.000005,0.000902,0.001435,0.000023,0.000197,0.00218,0.000012,0.000026,0.000026,0.000024,0.002407,0.00072,0.004596,0.000011,0.000003,0.00804,0.013667,0.000012,0.001056,0.000246,0.000326,0.000056,0.000093,0.000007,0.000007,0.002603,0.000157,0.035494,0.005513,0.00001,0.030101,0.002624,0.000831,0.000014,0.000027,0.000026,0.000001
729,Haemophilus parainfluenzae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,0.000007,0.00001,0.00001,0.000015,0.000032,0.000016,0.000035,0.000001,0.000001,0.000002,0.000008,0.000011,0.000009,0.000018,0.000001,0.000013,0.000001,0.000003,0.000001,0.000004,0.000001,0.000004,0.003327,0.028115,0.00003,0.000136,0.022217,0.001962,0.000345,0.000203,0.000729,0.000058,0.00268,0.000419,0.00027,0.000003,0.002289,0.00006,0.000197,0.001902,0.000075,0.000137,0.00006,0.000052,0.000024,0.000095,0.000017,0.000026,0.000081,0.00985,0.00007,0.000022,0.001391,0.001693,0.000067,0.000498,0.000103,0.00003,0.000008,0.000063,0.000494,0.000242
573,Klebsiella pneumoniae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,0.000107,0.000048,0.000063,0.000065,0.000149,0.000068,0.000099,0.000011,0.000006,0.000012,0.000002,0.000004,0.000012,0.024742,0.000004,0.000003,0.000006,0.000016,0.000003,0.000009,0.000003,0.000005,0.000872,0.000094,0.000036,0.000031,0.000085,0.000235,0.000006,0.000006,0.00001,0.000006,0.000004,0.000014,0.000002,0.000001,0.000004,0.000004,0.000039,0.000007,0.000004,0,0.00001,0.000012,0.000009,0.000011,0.000017,0.000008,0.000007,0.000003,0.00001,0.000004,0.000039,0.000052,0.000051,0.000006,0.000005,0.000079,0.000051,0.000011,0.000036,0.000005
487175,Parasutterella excrementihominis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,0.000082,0.000033,0.000165,0.000153,0.000145,0.000104,0.00037,0.000014,0.000018,0.000001,0.000001,0.000002,0.000002,0.000002,0.000017,0.000002,0.000024,0.000002,0.000001,0.000004,0,0.000002,0,0.000196,0,0.000002,0.000105,0.000149,0.010036,0.023885,0.002234,0.00266,0.003583,0.000023,0.00185,0.000022,0.000041,0.000014,0.000639,0.005827,0.000006,0.000002,0.000014,0.000139,0.000621,0.000109,0.000047,0.014055,0.001092,0.007813,0.000079,0.017181,0.00086,0.001078,0.000019,0.000258,0.000033,0.000497,0.000012,0.001736,0.000019,0.000003
469610,Burkholderiales bacterium 1_1_47,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,none,none,Burkholderiales bacterium 1_1_47,0.000089,0.000034,0.000158,0.000147,0.00014,0.000098,0.000356,0.000003,0.000002,0.000003,0.000002,0.000003,0.000004,0.000001,0.000003,0.000001,0.000006,0,0.000004,0.000017,0.000005,0.000015,0,0.000197,0,0.000002,0.000096,0.00015,0.014255,0.023266,0.002271,0.002147,0.003621,0.000005,0.001811,0.00002,0.000052,0.000015,0.000638,0.00535,0.000006,0.000002,0.000008,0.000115,0.000605,0.0001,0.000032,0.015834,0.00095,0.007387,0.000074,0.017335,0.000722,0.000921,0.00001,0.00028,0.000034,0.000563,0.000009,0.001948,0.000015,0.000017
40216,Acinetobacter radioresistens,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter radioresistens,0.000008,0.000003,0.000005,0.000006,0.000006,0.000005,0.000004,0,0,0,0,0.000001,0.000002,0,0,0,0,0,0,0.000001,0,0,0.016631,0.000005,0.000052,0.002241,0.000003,0.000003,0.000003,0.000004,0.000005,0.000003,0.000004,0.000004,0.000001,0.000001,0.000002,0.000006,0.000004,0.000002,0.000001,0.000001,0.000005,0.00001,0.000006,0.000021,0.000008,0.000004,0.000007,0.000001,0.000004,0.000001,0.000007,0.000007,0.000005,0.000001,0.000001,0.000001,0.000004,0.000004,0.000007,0.000002
749535,Klebsiella sp. MS 92-3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella sp. MS 92-3,0.000009,0.000005,0.000004,0.000002,0.000014,0.000018,0.000012,0.000002,0.000001,0.000002,0.000001,0.000001,0.000002,0.002938,0.000001,0.000001,0.000001,0.000001,0,0.000002,0,0.000001,0.000131,0.000041,0.016502,0.014265,0.000063,0.000083,0,0.000001,0.000001,0.000002,0.000001,0.000001,0,0,0,0,0.000009,0.000004,0,0,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000001,0,0.000003,0.000005,0.000014,0,0,0.000012,0.000007,0.000001,0.000005,0.000001
470,Acinetobacter baumannii,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,0.000013,0.000015,0.000015,0.000017,0.000025,0.000027,0.000019,0.000004,0.000002,0.000005,0.000002,0.000002,0.000007,0.000007,0.000002,0.000002,0.000003,0.000006,0.000001,0.000004,0.000001,0.000007,0.015967,0.000026,0.000027,0.000486,0.000103,0.000034,0.000011,0.000014,0.00003,0.000018,0.000043,0.000015,0.000009,0.000002,0.000009,0.000018,0.000016,0.000002,0.000009,0.000001,0.000009,0.00002,0.000017,0.000025,0.000028,0.000013,0.000024,0.000005,0.000013,0.000011,0.000066,0.000039,0.000017,0.000009,0.000007,0.000009,0.000012,0.000015,0.000017,0.000006
