taxid,desc,superkingdom,phylum,class,order,family,genus,species,toprank,Max,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
887700,Acetobacter aceti NBRC 14818,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter aceti,Acetobacter aceti NBRC 14818,0.00014,0.000002,0.000005,0.000006,0.000004,0.000017,0.000006,0.000006,0.000001,0.000001,0,0.000001,0.000001,0.000002,0,0.000001,0,0.000001,0,0,0,0,0,0,0.000002,0,0,0,0,0.000005,0.000002,0.000006,0.000003,0.000003,0.000002,0,0.000001,0.000001,0.000003,0.000003,0.000001,0.000007,0,0.000002,0.000004,0.000002,0.000004,0.000007,0.000007,0.000001,0,0.000001,0.000001,0.000061,0.00014,0.000001,0.000001,0,0.000002,0.000002,0.000007,0.000012,0.000001
634452,Acetobacter pasteurianus IFO 3283-01,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-01,0.000033,0,0.000001,0.000001,0.000001,0.000004,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000012,0.000033,0.000001,0,0,0,0.000002,0,0.000005,0
634458,Acetobacter pasteurianus IFO 3283-01-42C,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-01-42C,0.000044,0,0.000001,0.000001,0.000001,0.000004,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000015,0.000044,0.000001,0,0,0,0.000002,0,0.000006,0
634453,Acetobacter pasteurianus IFO 3283-03,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-03,0.000033,0,0.000001,0.000001,0.000001,0.000004,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000012,0.000033,0.000001,0,0,0,0.000002,0,0.000005,0
634454,Acetobacter pasteurianus IFO 3283-07,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-07,0.000035,0,0.000001,0.000001,0.000001,0.000004,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0.000001,0,0.000001,0,0.000001,0,0,0,0,0,0.000002,0,0.000001,0.000001,0.000001,0.000002,0,0.000003,0.000001,0,0,0,0.000015,0.000035,0.000001,0,0,0,0.000002,0,0.000005,0
634459,Acetobacter pasteurianus IFO 3283-12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-12,0.000041,0,0.000001,0.000001,0.000001,0.000004,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000015,0.000041,0.000001,0,0,0,0.000002,0,0.000005,0
634455,Acetobacter pasteurianus IFO 3283-22,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-22,0.000043,0,0.000001,0.000001,0.000001,0.000004,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0.000001,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000015,0.000043,0.000001,0,0,0,0.000002,0,0.000005,0
634456,Acetobacter pasteurianus IFO 3283-26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-26,0.000043,0,0.000001,0.000001,0.000001,0.000004,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0.000001,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000015,0.000043,0.000001,0,0,0,0.000002,0,0.000005,0
634457,Acetobacter pasteurianus IFO 3283-32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus IFO 3283-32,0.000045,0,0.000001,0.000001,0.000001,0.000004,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0.000001,0,0.000003,0.000001,0,0,0,0.000016,0.000045,0.000001,0,0,0,0.000002,0,0.000005,0
1006554,Acetobacter pasteurianus NBRC 101655,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter pasteurianus,Acetobacter pasteurianus NBRC 101655,0.000023,0,0,0.000001,0.000001,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000014,0.000023,0,0,0,0,0,0,0.000001,0
