superkingdom,phylum,class,order,family,genus,species,Max,Ave HE,Ave CD,Ave UC,Ave LS,Max HE,Max UC,Max CD,Max LS
,,,,,,,,,,,,,,,
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,Akkermansia muciniphila,0.08439,0.00984429411764706,0.0000022,0.0000316666666666667,0.0277061428571429,0.08439,0.00013,0.000007,0.069592
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter jejuni,0.001847,0.000186264705882353,0.000031,0.000441,0.000144142857142857,0.00058,0.001847,0.000126,0.000311
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,Escherichia coli,0.829911,0.000551147058823529,0.0038266,0.356394333333333,0.0568338571428572,0.006032,0.829911,0.015697,0.103199
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,Salmonella enterica,0.00801,0.0000266470588235294,0.0000581333333333333,0.001744,0.000550571428571429,0.000127,0.00801,0.000487,0.000149
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Shigella,Shigella dysenteriae,0.006292,0.00000738235294117647,0.0000730666666666667,0.001138,0.00135,0.000048,0.002282,0.000301,0.006292
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Yersinia pestis,0.00088,0.00000776470588235294,0.00000933333333333333,0.000327,0.0000671428571428571,0.000068,0.00088,0.000045,
Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,0.000325,0.0000461176470588235,0.0000127333333333333,0.00007,0.0000375714285714286,0.000123,0.000325,0.000031,0.000049
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae,0.028115,0.000713323529411765,0.0000052,0.00929783333333333,0.0000178571428571429,0.00985,0.028115,0.000018,0.000035
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus influenzae,0.001542,0.0000567352941176471,0.00000686666666666667,0.000487,0.00003,0.000299,0.001542,0.000017,0.00004
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis,0.035494,0.00326870588235294,0.002171,0.000694666666666667,0.000756571428571428,0.035494,0.001803,0.023685,0.004296
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium nucleatum,0.004135,0.000211764705882353,0.000243133333333333,0.000110333333333333,0.000681571428571429,0.000736,0.000213,0.001431,0.004135
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,0.044205,0.000183235294117647,0.0000755333333333333,0.007968,0.000305857142857143,0.000524,0.044205,0.000232,0.000982
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus anthracis,0.00114,0.00000994117647058824,0.00000446666666666667,0.000208833333333333,0.0000162857142857143,0.000043,0.00114,0.00001,0.000042
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium sp. L2-50,0.083244,0.00752711764705882,0.001148,0.000154166666666667,0.0227635714285714,0.078464,0.000421,0.003534,0.083244
