Probiotic/Prebiotic cocktail ,,,,,,,,,,,,,,,,,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,Max,HE AVE,CD AVE,UC AVE,LS AVE,CD/HE
Taking during and after 1 month Cipro and Flagyl antibiotic Feb 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jarro,Jarro,VSL#3,HLC,Flora V,Prescript,Keefer,Garden,In Weizhong,Domain,phylum,class,order,family,genus,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dophilus,Dophilus,,Intensive,,Assist,,of Life,database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,FOS,,,,,,Colon Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inulin-FOS mg,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardite,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter calcoaceticus,,,,,,x,,,Y,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,0.000003,0.000003,0.000003,0.000003,0.000002,0.000004,0.000002,0.000001,0.000001,0.000001,0,0,0.000003,0,0,0.000001,0.000001,0,0.000001,0.000001,0,0.000002,0.000014,0.000008,0,0,0.000006,0.000007,0.000002,0.000003,0.000008,0.000009,0.000003,0.00001,0.000002,0.000001,0.000002,0.000003,0.000005,0,0.000001,0,0.000003,0.000007,0.000004,0.000006,0.000009,0.000002,0.000004,0.000001,0.000003,0.000008,0.000004,0.000009,0.000022,0.000001,0.000001,0.000001,0.000003,0.000004,0.000005,0,0.000022,0.00000429411764705882,0.0000008,0.00000583333333333333,0.00000285714285714286,0.186301369863014
Arthrobacter agilis,,,,,,x,,,N,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Anthrobacter,Anthrobacter agilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrobacter citreus,,,,,,x,,,N,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Anthrobacter,Anthrobacter citreus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrobacter globiformis,,,,,,x,,,Y,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Anthrobacter,Arthrobacter globiformis,0.000003,0.000012,0.000008,0.000005,0.000019,0.000007,0.000009,0.000003,0.000002,0.000001,0.000001,0.000002,0.000002,0,0.000004,0.000001,0.000003,0.000001,0,0.000001,0.000001,0.000004,0.000009,0,0,0,0,0,0.000003,0.000001,0.000002,0.000002,0.000001,0.000002,0,0,0.000001,0.000001,0.000002,0,0,0,0.000001,0.000003,0.000002,0.000002,0.000004,0.000001,0.000002,0,0.000001,0.000001,0.000005,0.000008,0,0.000001,0,0.000001,0.000002,0.000004,0.000002,0,0.000019,0.00000161764705882353,0.00000173333333333333,0.0000015,0.000009,1.07151515151515
Arthrobacter luteus,,,,,,x,,,N,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Anthrobacter,Anthrobacter luteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrobacter simplex,,,,,,x,,,N,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Anthrobacter,Anthrobacter simplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azospirillum brasilense,,,,,,x,,,Y,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum brasilense,0.000008,0.000024,0.000023,0.000013,0.000069,0.000021,0.000036,0.000002,0.000001,0,0,0,0,0,0.000002,0,0.000002,0.000001,0,0,0,0,0,0.000002,0,0.000001,0,0.000001,0.000006,0.000003,0.000005,0.000004,0.000004,0.000004,0,0.000002,0.000002,0.000002,0.000006,0,0.000011,0,0.000003,0.000004,0.000004,0.000006,0.000013,0.000015,0.000003,0.000001,0.000003,0.000003,0.000089,0.000126,0.000002,0.000003,0.000001,0.000003,0.000016,0.000011,0.000028,0,0.000126,0.0000112647058823529,0.000000533333333333333,0.000000666666666666667,0.0000277142857142857,0.0473455178416014
Azospirillum lipoferum ,,,,,,x,,,Y,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,Azospirillum lipoferum ,0.000014,0.000037,0.000038,0.00002,0.000095,0.000036,0.000056,0.000003,0.000003,0,0.000001,0.000001,0.000001,0,0.000003,0,0.000003,0,0,0.000001,0,0.000001,0,0,0,0,0,0,0.000012,0.000006,0.000011,0.000008,0.000007,0.000006,0.000001,0.000002,0.000004,0.000005,0.000007,0,0.00002,0,0.000006,0.000011,0.000007,0.000014,0.000023,0.000023,0.000004,0.000002,0.000008,0.000005,0.000174,0.000303,0.000002,0.000007,0.000002,0.000003,0.000017,0.000013,0.000049,0.000001,0.000303,0.0000224411764705882,0.00000113333333333333,0,0.0000422857142857143,0.0505024027959808
