taxid,desc,superkingdom,phylum,class,order,family,genus,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
291363,Lecanicillium,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium,0.000004,0,0,0.000003,0,0.000002,0,0,0,0,0.000001,0,0,0,0.000002,0.000002,0,0,0,0,0,0.000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5884,Paramecium,Eukaryota,none,Oligohymenophorea,Peniculida,Parameciidae,Paramecium,0,0,0,0,0,0.000001,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29832,Hanseniaspora,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycodaceae,Hanseniaspora,0,0,0,0,0,0,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46703,Montipora,Eukaryota,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43938,Pseudendoclonium,Eukaryota,Chlorophyta,Ulvophyceae,Ulvales,none,Pseudendoclonium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1654,Actinomyces,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,0.002271,0.01308,0.003859,0.00222,0.101556,0.000588,0.005017,0.001453,0.000694,0.016001,0.004839,0.005035,0.003212,0.00236,0.001313,0.008143,0.000448,0.004206,0.008001,0.010638,0.0222,0.074182,0.000396,0.000157,0.000002,0.000004,0.000166,0.000163,0.000103,0.000084,0.000216,0.000069,0.00003,0.00016,0.000023,0.000025,0.000039,0.000053,0.000134,0.000018,0.000011,0.000002,0.000068,0.000202,0.000102,0.000189,0.000237,0.000097,0.000176,0.000037,0.000077,0.000053,0.000113,0.000233,0.000072,0.00005,0.000019,0.000063,0.000356,0.000299,0.000169,0.000081
4930,Saccharomyces,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,0.000001,0.000002,0.000001,0.000001,0.000007,0.000002,0,0.000002,0.000008,0.000022,0.000006,0.00001,0.000027,0.000006,0.000001,0.000017,0.000003,0.000001,0.000023,0.000172,0.000069,0.002694,0.000013,0.000123,0.000002,0.000001,0.000019,0.000021,0,0.000001,0.000001,0.000001,0.000001,0.000001,0,0.000002,0.000002,0.000003,0.000003,0,0,0,0.000001,0.000002,0.000001,0.000002,0.000015,0.000006,0.000002,0.000013,0.000002,0,0.000001,0.000003,0.000001,0,0,0.000001,0.000003,0.000001,0,0
1578,Lactobacillus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,0.00207,0.00179,0.00276,0.003657,0.002387,0.002354,0.001298,0.53776,0.684078,0.000783,0.00037,0.000408,0.001308,0.001123,0.533872,0.006308,0.552885,0.008859,0.013751,0.001746,0.000391,0.0012,0.002755,0.00047,0.000029,0.000138,0.000527,0.000338,0.000605,0.00079,0.003219,0.002216,0.001089,0.00318,0.000452,0.000131,0.001257,0.003432,0.002919,0.000125,0.000226,0.000053,0.001494,0.003032,0.001429,0.002278,0.004036,0.001286,0.002801,0.000615,0.001264,0.000239,0.001291,0.003088,0.003357,0.002155,0.000197,0.000593,0.001668,0.002068,0.006022,0.00022
570,Klebsiella,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,0.000142,0.000636,0.000121,0.000106,0.000379,0.000186,0.000438,0.000035,0.00002,0.000144,0.000102,0.000118,0.000067,0.043295,0.000026,0.000059,0.000018,0.00011,0.000093,0.000224,0.000164,0.000126,0.002294,0.000257,0.019255,0.014381,0.000261,0.000526,0.000017,0.000016,0.000026,0.000021,0.000013,0.000033,0.00001,0.000005,0.000012,0.000012,0.000107,0.000017,0.000008,0.000002,0.000032,0.000029,0.000023,0.000034,0.00006,0.000019,0.00003,0.000011,0.000022,0.00001,0.000083,0.00013,0.0001,0.000013,0.000008,0.000149,0.000083,0.000035,0.000073,0.000012
1678,Bifidobacterium,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,0.007536,0.016099,0.013117,0.00407,0.148779,0.005073,0.005745,0.133619,0.076805,0.044476,0.62256,0.571021,0.284328,0.000155,0.19727,0.001421,0.039969,0.025101,0.136302,0.011635,0.221762,0.069238,0.001507,0.000139,0.000003,0.000032,0.000234,0.000039,0.000568,0.000466,0.00079,0.002361,0.000836,0.002181,0.000168,0.000489,0.000913,0.000475,0.00267,0.000771,0.000892,0.000391,0.000449,0.003668,0.000954,0.002682,0.004655,0.001009,0.000957,0.002611,0.001071,0.000305,0.000561,0.000928,0.016629,0.023543,0.000585,0.001127,0.009652,0.005811,0.010202,0.000115
