taxid,desc,superkingdom,phylum,class,order,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
186329,Acholeplasmatales,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,0.000156,0.000046,0.00005,0.000172,0.000064,0.000127,0.000028,0.000003,0.000002,0.000024,0.000005,0.000003,0.0001,0.000007,0.000002,0.000002,0.000002,0.000008,0.000005,0.00004,0.000014,0.000081,0.00008,0.000026,0,0,0.000032,0.000047,0.000102,0.000212,0.00179,0.002127,0.000349,0.001179,0.00001,0.000004,0.000288,0.0011,0.001041,0.000002,0.000055,0.000001,0.000708,0.000731,0.000375,0.000108,0.001714,0.000033,0.000103,0.000025,0.000275,0.00001,0.000052,0.000731,0.000141,0.000019,0.000004,0.000017,0.000655,0.000464,0.000639,0.00001
871006,Acidilobales,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000003,0.000002,0,0.000001,0,0,0,0.000003,0,0.000002,0,0,0,0,0,0.000009,0,0,0,0,0,0.000001,0.000002,0.000004,0.000001,0.000001,0.000009,0,0,0.000003,0.000002,0.000002,0,0,0,0.000002,0.000006,0.000006,0.000003,0.000012,0,0.000001,0,0.000003,0,0.000001,0.000005,0.000007,0,0,0,0.000005,0,0.000001,0
84993,Acidimicrobiales,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,0.000004,0.000008,0.000011,0.000005,0.000032,0.000007,0.000015,0.000006,0.000005,0,0,0,0,0,0.000006,0,0.000007,0,0,0,0,0.000001,0,0,0,0,0,0,0.000007,0.000001,0.000004,0.000003,0.000001,0.000002,0.000001,0,0.000003,0.000001,0.000002,0,0,0,0.000004,0.000004,0.000003,0.000002,0.000007,0.000001,0.000001,0,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0,0.000001,0.000002,0.000003,0.000005,0
225057,Acidithiobacillales,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,0.000014,0.000033,0.000032,0.000024,0.000081,0.000028,0.000031,0.000005,0.000003,0.000001,0.000001,0.000002,0.000003,0,0.000004,0,0.000004,0.000001,0.000001,0.000003,0,0.000001,0.000014,0.000006,0.000002,0,0.000005,0.000007,0.000018,0.000009,0.000024,0.00001,0.000013,0.000016,0.000002,0.000003,0.000005,0.000014,0.00001,0.000003,0.000005,0,0.000012,0.000016,0.000012,0.000025,0.000034,0.00001,0.000011,0.000003,0.000016,0.000005,0.000073,0.000142,0.000008,0.000011,0.000002,0.000008,0.00002,0.00002,0.000025,0.000013
204433,Acidobacteriales,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,0.000018,0.000058,0.000055,0.000032,0.000163,0.000047,0.00007,0.000016,0.000011,0,0.000002,0.000003,0.000003,0,0.000018,0,0.000018,0.000001,0.000001,0.000002,0,0.000001,0.000009,0.000003,0.000001,0,0.000004,0.000005,0.000029,0.000014,0.000031,0.00002,0.000011,0.000018,0.000004,0.000003,0.000016,0.000012,0.000016,0.000001,0.000001,0,0.000016,0.000022,0.000018,0.000029,0.000035,0.000008,0.000029,0.000004,0.000013,0.00001,0.000029,0.000059,0.000023,0.00001,0.000002,0.000011,0.000024,0.000029,0.000032,0.000001
2037,Actinomycetales,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,0.004048,0.018046,0.006568,0.003926,0.110719,0.002669,0.008571,0.002155,0.001267,0.016987,0.005779,0.00592,0.004101,0.002546,0.002239,0.009549,0.001146,0.004706,0.008668,0.011473,0.023438,0.077747,0.10201,0.000936,0.00026,0.00163,0.001284,0.000388,0.000843,0.000523,0.000962,0.000596,0.00032,0.001318,0.000227,0.000395,0.00042,0.000511,0.00089,0.000158,0.000151,0.00002,0.000572,0.001225,0.000759,0.001699,0.002098,0.000529,0.000913,0.000221,0.000574,0.000566,0.000949,0.001347,0.001024,0.000353,0.000128,0.000465,0.002216,0.001343,0.001247,0.000256
135624,Aeromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,0.000072,0.000154,0.000164,0.000156,0.000357,0.000174,0.000202,0.000025,0.000014,0.000034,0.000019,0.000016,0.000037,0.00004,0.000023,0.000028,0.000019,0.000039,0.00002,0.000034,0.000029,0.000029,0.00012,0.000058,0.000009,0.000158,0.000028,0.00004,0.000098,0.000056,0.000243,0.000089,0.000073,0.000134,0.000041,0.000021,0.000055,0.000102,0.000166,0.000007,0.000034,0.000003,0.000106,0.000196,0.000131,0.000364,0.000176,0.000094,0.000168,0.000041,0.000083,0.000037,0.000306,0.000425,0.000101,0.000057,0.000029,0.000055,0.000129,0.000133,0.000179,0.000012
5338,Agaricales,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,0,0,0,0,0.000001,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0.000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0
135622,Alteromonadales,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,0.000082,0.000158,0.000181,0.000161,0.000377,0.000144,0.00018,0.000025,0.000015,0.000026,0.000023,0.000023,0.000045,0.00002,0.000018,0.000013,0.000024,0.000016,0.000016,0.00003,0.00002,0.000046,0.000414,0.000171,0.000003,0.000035,0.000121,0.000169,0.000128,0.000082,0.000219,0.000121,0.000085,0.000287,0.000038,0.000026,0.000106,0.000162,0.00015,0.000026,0.000074,0.00001,0.000149,0.000196,0.000118,0.000218,0.000258,0.000102,0.000257,0.000041,0.000114,0.000067,0.000416,0.000816,0.000332,0.000047,0.000039,0.000058,0.000126,0.00018,0.000208,0.000042
292629,Anaerolineales,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,0.000008,0.000021,0.000021,0.000015,0.00004,0.000021,0.000025,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000003,0.000001,0,0.000001,0,0.000001,0.000001,0.000001,0.000001,0.000008,0,0,0,0.000001,0.000001,0.00001,0.000005,0.000012,0.000013,0.000003,0.000011,0.000001,0.000001,0.000003,0.000007,0.00001,0,0.000006,0,0.000005,0.000011,0.000009,0.000017,0.000027,0.000005,0.000011,0.000003,0.000007,0.000002,0.000008,0.000012,0.000009,0.000005,0.000007,0.000006,0.000011,0.000021,0.000018,0.000004
