taxid,desc,superkingdom,phylum,class,order,family,genus,species,toprank,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
240015,Acidobacterium capsulatum ATCC 51196,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Acidobacterium,Acidobacterium capsulatum,Acidobacterium capsulatum ATCC 51196,0.000006,0.000018,0.000016,0.000009,0.000044,0.000015,0.000021,0.000001,0.000001,0,0.000001,0.000001,0.000001,0,0.000001,0,0.000001,0,0,0,0,0,0.000007,0.000001,0,0,0.000001,0.000003,0.000009,0.000004,0.000007,0.000009,0.000003,0.000004,0.000001,0,0.000002,0.000002,0.000003,0,0,0,0.000003,0.000006,0.000004,0.000009,0.000009,0.000002,0.000005,0.000001,0.000004,0.000004,0.000013,0.000031,0.000001,0.000003,0.000001,0.000002,0.000005,0.000009,0.000011,0
682795,Granulicella mallensis MP5ACTX8,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella mallensis,Granulicella mallensis MP5ACTX8,0.000003,0.000009,0.000011,0.000006,0.000028,0.000008,0.000014,0.000001,0.000001,0,0,0,0,0,0.000001,0,0.000001,0,0,0.000001,0,0,0,0,0,0,0,0.000001,0.000006,0.000003,0.000004,0.000004,0.000001,0.000003,0.000001,0.000001,0.000002,0.000001,0.000003,0,0,0,0.000003,0.000005,0.000003,0.000004,0.000005,0.000002,0.000012,0.000001,0.000002,0.000002,0.000004,0.000007,0.000005,0.000001,0,0.000001,0.000006,0.000005,0.000006,0.000001
1198114,Granulicella tundricola MP5ACTX9,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,Granulicella tundricola,Granulicella tundricola MP5ACTX9,0.000004,0.000015,0.000014,0.000008,0.000049,0.000011,0.000016,0.00001,0.000007,0,0.000001,0.000001,0.000001,0,0.000012,0,0.000011,0,0,0,0,0,0,0.000001,0.000001,0,0,0.000001,0.000005,0.000003,0.000007,0.000003,0.000001,0.000003,0.000001,0.000002,0.000002,0.000003,0.000004,0,0,0,0.000002,0.000006,0.000004,0.000007,0.000008,0.000001,0.000004,0.000001,0.000002,0.000002,0.000006,0.000015,0.000001,0.000002,0.000001,0.000002,0.000005,0.000006,0.000006,0
926566,Terriglobus roseus DSM 18391,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus,Terriglobus roseus DSM 18391,0.000003,0.000009,0.000008,0.000005,0.00003,0.000007,0.000012,0.000002,0.000001,0,0,0,0,0,0.000002,0,0.000002,0,0,0,0,0,0.000003,0.000001,0,0,0,0.000001,0.000005,0.000002,0.000007,0.000003,0.000001,0.000002,0.000001,0,0.000008,0.000003,0.000003,0,0,0,0.000005,0.000003,0.000004,0.000006,0.000007,0.000002,0.000005,0.000001,0.000002,0.000002,0.000003,0.000003,0.000002,0.000002,0.000001,0.000003,0.000005,0.000005,0.000005,0
401053,Terriglobus saanensis SP1PR4,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus saanensis,Terriglobus saanensis SP1PR4,0.000002,0.000008,0.000007,0.000004,0.000013,0.000006,0.000007,0.000002,0.000001,0,0,0,0,0,0.000002,0,0.000002,0,0,0,0,0,0,0,0,0,0.000001,0,0.000004,0.000002,0.000006,0.000002,0.000004,0.000006,0.000001,0,0.000002,0.000002,0.000002,0,0,0,0.000003,0.000003,0.000003,0.000003,0.000006,0.000001,0.000003,0.000001,0.000002,0.000001,0.000003,0.000004,0.000014,0.000001,0,0.000003,0.000003,0.000005,0.000003,0
903818,Holophaga foetida DSM 6591,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga,Holophaga foetida,Holophaga foetida DSM 6591,0.000019,0.000033,0.00003,0.000024,0.000106,0.00004,0.000044,0.000003,0.000002,0,0.000001,0.000001,0.000001,0,0.000003,0,0.000003,0,0,0,0,0.000001,0,0.000003,0,0,0.000001,0.000001,0.000015,0.000007,0.000012,0.000008,0.000004,0.000013,0.000002,0.000002,0.000004,0.000007,0.000008,0,0.000019,0,0.000008,0.000008,0.000008,0.000016,0.00002,0.000005,0.000012,0.000001,0.000007,0.000005,0.000009,0.000014,0.000002,0.000004,0.000003,0.000006,0.000015,0.000016,0.00002,0.000001
981222,Candidatus Chloracidobacterium thermophilum B,Bacteria,Acidobacteria,none,none,none,Candidatus Chloracidobacterium,Candidatus Chloracidobacterium thermophilum,Candidatus Chloracidobacterium thermophilum B,0.000006,0.000015,0.000012,0.000008,0.000023,0.000012,0.000016,0.000001,0.000001,0.000003,0.000001,0.000001,0.000001,0,0,0,0.000002,0,0.000003,0.000001,0.000004,0.000001,0,0,0,0,0,0.000001,0.000008,0.000003,0.000008,0.000007,0.000002,0.000002,0.000002,0.000001,0.000003,0.000004,0.000003,0.000001,0.000001,0,0.000006,0.000006,0.000005,0.000008,0.000019,0.000003,0.000008,0.000001,0.000003,0.000004,0.000008,0.000004,0.000002,0.000003,0.000002,0.000002,0.000011,0.00001,0.000013,0.000001
204669,Candidatus Koribacter versatilis Ellin345,Bacteria,Acidobacteria,none,none,none,Candidatus Koribacter,Candidatus Koribacter versatilis,Candidatus Koribacter versatilis Ellin345,0.000004,0.000008,0.00001,0.000006,0.000024,0.000009,0.000012,0.000001,0,0,0,0,0,0,0.000001,0,0.000001,0,0,0,0,0,0.000002,0.000004,0,0,0.000003,0.000003,0.000005,0.000003,0.000007,0.000006,0.000003,0.000004,0.000001,0,0.000004,0.000002,0.000003,0,0.000001,0,0.000005,0.000008,0.000003,0.000008,0.000008,0.000002,0.000006,0.000001,0.000003,0.000002,0.000009,0.00002,0.000002,0.000002,0,0.000002,0.000003,0.000008,0.000008,0.000005
234267,Candidatus Solibacter usitatus Ellin6076,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,Candidatus Solibacter usitatus,Candidatus Solibacter usitatus Ellin6076,0.000004,0.00001,0.000011,0.000006,0.000022,0.00001,0.000011,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0.000003,0,0,0,0,0,0.000005,0.000003,0.000005,0.000003,0.000001,0.000005,0.000002,0.000001,0.000002,0.000003,0.000003,0,0.000001,0,0.000001,0.000004,0.000003,0.000006,0.000007,0.000001,0.000003,0.000001,0.000003,0.000003,0.000007,0.00001,0.000004,0.000002,0,0.000003,0.000005,0.000006,0.000007,0
525909,Acidimicrobium ferrooxidans DSM 10331,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,Acidimicrobium ferrooxidans,Acidimicrobium ferrooxidans DSM 10331,0.000003,0.000006,0.000007,0.000004,0.000027,0.000006,0.000012,0.000006,0.000005,0,0,0,0,0,0.000006,0,0.000007,0,0,0,0,0.000001,0,0,0,0,0,0,0.000005,0.000001,0.000003,0.000002,0.000001,0.000001,0.000001,0,0.000002,0.000001,0.000001,0,0,0,0.000004,0.000001,0.000002,0.000001,0.000005,0.000001,0,0,0.000001,0.000001,0.000001,0.000003,0,0.000001,0,0,0.000001,0.000002,0.000004,0
