taxid,desc,superkingdom,phylum,class,order,family,genus,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-58-Time1,CD-58-Time2,CD-58-Time3,CD-68-Time1,CD-68-Time2,CD-68-Time3,CD-92-Time1,CD-92-Time2,CD-92-Time3,CD-104-Time1,CD-104-Time2,CD-104-Time3,CD-33-Time1,CD-33-Time2,CD-33-Time3,UC10010302CD,UC20020003M,UC20020002CD,UC20020003CD,UC20020004M,UC20020002M,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713,HE-SRS012849,HE-SRS012969,HE-SRS013098,HE-SRS013476,HE-SRS013521,HE-SRS013638,HE-SRS013639,HE-SRS013800,HE-SRS014287,HE-SRS014313,HE-SRS014459,HE-SRS014613,HE-SRS014683,HE-SRS015133,HE-SRS015190,HE-SRS015264,HE-SRS015369,HE-SRS015431,HE-SRS015782,HE-SRS015794,HE-SRS015854,HE-SRS015890,HE-SRS015960,HE-SRS016056,HE-SRS016203,HE-SRS016267,HE-SRS016437,HE-SRS016438,HE-SRS016517,HE-SRS016585,HE-SRS016753,HE-SRS016954,HE-SRS016989,HE-SRS017191,HE-SRS017247,HE-SRS017307,HE-SRS017521,HE-SRS017701,HE-SRS017821,HE-SRS017916,HE-SRS018133,HE-SRS018313,HE-SRS018351,HE-SRS018575,HE-SRS018817,HE-SRS018984,HE-SRS019030,HE-SRS019068,HE-SRS019161,HE-SRS019267,HE-SRS019381,HE-SRS019397,HE-SRS019582,HE-SRS019601,HE-SRS019685,HE-SRS019787,HE-SRS019910,HE-SRS019968,HE-SRS020233,HE-SRS020622,HE-SRS021153,HE-SRS021219,HE-SRS021484,HE-SRS021948,HE-SRS022071,HE-SRS022137,HE-SRS022524,HE-SRS022609,HE-SRS023176,HE-SRS023346,HE-SRS023526,HE-SRS023583,HE-SRS023829,HE-SRS023914,HE-SRS023971,HE-SRS024009,HE-SRS024075,HE-SRS024132,HE-SRS024265,HE-SRS024331,HE-SRS024388,HE-SRS024435,HE-SRS024549,HE-SRS024625,HE-SRS024663,HE-SRS042284,HE-SRS042628,HE-SRS043001,HE-SRS043411,HE-SRS043667,HE-SRS043701,HE-SRS045004,HE-SRS045528,HE-SRS045645,HE-SRS045713,HE-SRS045739,HE-SRS047014,HE-SRS047044,HE-SRS048164,HE-SRS048870,HE-SRS049164,HE-SRS049402,HE-SRS049712,HE-SRS049896,HE-SRS049900,HE-SRS049959,HE-SRS049995,HE-SRS050026,HE-SRS050299,HE-SRS050422,HE-SRS050752,HE-SRS050925,HE-SRS051031,HE-SRS051882,HE-SRS052027,HE-SRS052697,HE-SRS053214,HE-SRS053335,HE-SRS053356,HE-SRS053398,HE-SRS053573,HE-SRS053649,HE-SRS054352,HE-SRS054590,HE-SRS054956,HE-SRS055533,HE-SRS055982,HE-SRS056259,HE-SRS056273,HE-SRS056519,HE-SRS057478,HE-SRS057717,HE-SRS058070,HE-SRS058723,HE-SRS058770,HE-SRS062427,HE-SRS063040,HE-SRS063489,HE-SRS063518,HE-SRS063985,HE-SRS064276,HE-SRS064557,HE-SRS064645,HE-SRS064973,HE-SRS065504,HE-SRS074670,HE-SRS074964,HE-SRS075078,HE-SRS075341,HE-SRS075398,HE-SRS075963,HE-SRS076929,HE-SRS077086,HE-SRS077194,HE-SRS077294,HE-SRS077335,HE-SRS077502,HE-SRS077552,HE-SRS077730,HE-SRS077753,HE-SRS077849,HE-SRS078176,HE-SRS078242,HE-SRS078419,HE-SRS078665,HE-SRS097889,HE-SRS098514,HE-SRS098571,HE-SRS098644,HE-SRS098717,HE-SRS098827,HE-SRS098881,HE-SRS100021,HE-SRS101376,HE-SRS101433,HE-SRS103987,HE-SRS104197,HE-SRS104311,HE-SRS104400,HE-SRS104485,HE-SRS105082,HE-SRS105153,HE-SRS140492,HE-SRS140513,HE-SRS140645
543311,Parvimonas,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Parvimonas,0.221053,0.00017,0.00014,0.000662,0.000372,0.00169,0.001575,0.000023,0.000013,0.000411,0.000035,0.000033,0.000195,0.000294,0.000031,0.00044,0.000016,0.000135,0.000152,0.000449,0.000407,0.000949,0.000328,0.000188,0.000011,0.000013,0.000145,0.000176,0.000265,0.000325,0.001493,0.00078,0.000312,0.000987,0.000032,0.00002,0.000273,0.000756,0.001944,0,0.000024,0.000014,0.00034,0.001468,0.000627,0.000439,0.000817,0.000142,0.000559,0.000116,0.00045,0.000054,0.000167,0.000971,0.001264,0.000074,0.000032,0.000081,0.001042,0.000793,0.000569,0.000295,0.000027,0.000024,0.000051,0.000095,0.000012,0.000045,0.000072,0.000012,0.000015,0.000021,0.000023,0,0.000025,0.000044,0.000011,0,0.000012,0.000033,0.000127,0.000021,0.000022,0,0.000016,0.000019,0.000026,0,0,0,0.000403,0,0,0.000025,0.00002,0.00002,0,0.000019,0.00002,0.000013,0.000018,0.000043,0,0,0.000156,0.000012,0,0,0.000012,0.000035,0.000051,0.000011,0.000021,0.000013,0.000079,0.000014,0.000065,0.000022,0.00005,0.000019,0.000092,0,0,0,0.00002,0.000077,0.000092,0.000034,0.000043,0.000064,0.000012,0,0.000044,0,0,0.000058,0,0.000017,0.000014,0.000092,0.000028,0.000026,0,0.000066,0,0.000022,0.000025,0.000013,0.00044,0.000023,0.000015,0,0.000027,0.000074,0.00001,0.000025,0.000063,0,0.000058,0.000026,0.000017,0.000103,0.000056,0,0.000013,0.000019,0.000013,0.000149,0.000077,0,0.000038,0.000015,0.000037,0.000053,0.000116,0,0.000011,0.000048,0,0.000017,0.000213,0.000024,0.000017,0,0.000059,0,0.000021,0,0.000012,0.000055,0.000037,0.00001,0.000378,0.000013,0.000031,0.000011,0.000016,0.000023,0.000036,0.000013,0.000017,0.000104,0.000022,0,0.000011,0,0.000029,0,0.000023,0.000051,0.00002,0,0.000038,0.000024,0,0.000015,0.000031,0.000033,0,0.000029,0.000017,0.000013,0.000046,0.000059,0.000015,0.000026,0,0.00001,0.000042,0.000025,0.000038,0.000278,0,0.000015,0,0.000027,0.000037,0,0,0.000066,0.000059,0,0,0,0.00003,0.000027,0.000065
2172,Methanobrevibacter,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,0.184018,0.00364,0.003706,0.038598,0.03107,0.070387,0.035178,0,0.000011,0.00001,0,0,0.000047,0,0,0,0,0.000021,0,0.00004,0,0.000038,0.000054,0.000026,0,0,0.000036,0.000042,0.000028,0.000036,0.003908,0.000489,0.000039,0.001083,0.000017,0,0.000627,0.00053,0.000154,0.000015,0,0,0.000032,0.000496,0.005342,0.012978,0.010196,0.000033,0.000084,0.000029,0.000155,0,0.000069,0.000338,0.000127,0.000012,0,0.00002,0.000018,0.000058,0.00143,0,0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001519,0,0,0,0,0,0,0.001231,0,0,0,0.000029,0,0,0,0,0,0,0.000011,0,0.000057,0.000102,0.000273,0,0,0,0,0,0,0,0.001296,0.000439,0,0,0,0.003572,0,0.001216,0,0.000704,0,0.000093,0,0,0,0,0,0,0,0,0.001371,0,0,0,0,0,0,0,0,0,0,0.000237,0,0,0.008656,0,0,0,0,0,0,0,0,0,0,0,0,0.000071,0,0.000223,0,0,0.000313,0.000284,0,0,0,0,0.000531,0,0,0,0,0,0.000078,0.000024,0,0,0.0007,0,0,0.001823,0,0,0.000012,0.000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001752,0,0,0,0.000035,0,0.00023,0,0,0.000054,0.000126,0,0,0,0,0,0,0,0.000187,0,0,0,0,0.000157,0,0,0,0,0,0,0,0,0,0.000453,0.002667,0,0,0,0,0,0
561,Escherichia,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,0.112542,0.101597,0.098149,0.066121,0.001872,0.030196,0.002212,0.010025,0.005154,0.00022,0.000934,0.003045,0.000049,0.016335,0.002593,0.00247,0.003032,0.012054,0.000177,0.000202,0.000045,0.002955,0.114285,0.056307,0.829987,0.741727,0.332977,0.078061,0.000038,0.000048,0.000185,0.000552,0.00004,0.000127,0.000158,0.000064,0.000059,0.000085,0.006613,0.001796,0.00079,0.000262,0.001615,0.000114,0.000082,0.00011,0.000104,0.000097,0.000339,0.000159,0.000589,0.000034,0.000139,0.000332,0.002268,0.000026,0.0001,0.000069,0.00038,0.00081,0.001051,0.001136,0.001169,0.001278,0.001899,0.000156,0.00001,0.002201,0.002406,0,0.000136,0.000067,0.000161,0,0.001859,0.000137,0,0,0.000346,0.000037,0.000595,0.000021,0.000012,0,0,0,0.000041,0.000819,0.001275,0.000853,0.003148,0.802525,0.000019,0.000013,0.000025,0.00926,0.000071,0,0.013043,0,0.000157,0.001808,0.000018,0.002074,0.000013,0.00035,0,0.000144,0.000902,0.00117,0.000038,0.00002,0,0,0.000062,0.002319,0.000267,0.000013,0.00006,0.000527,0.000042,0.000587,0.00409,0.00055,0.000012,0.000021,0.000011,0.000102,0.000083,0.000043,0.000156,0.000014,0.000104,0.000201,0.000435,0.000232,0.000464,0.000017,0.000162,0.000932,0.00041,0.000054,0,0.000018,0.000205,0.000019,0.000826,0.000189,0.000026,0.000261,0.000044,0.000921,0,0.000013,0.001833,0,0,0.001068,0.000044,0.000268,0.000034,0,0.000061,0.035304,0,0.000816,0.000231,0.000017,0.00001,0.001214,0,0.000272,0.00285,0.000029,0.000028,0.000023,0,0.000012,0.000665,0.000092,0.001966,0.000067,0.000881,0.001142,0.002004,0.000147,0.001559,0.00113,0,0,0.000934,0.000057,0.003873,0.000033,0.001009,0.000098,0.000011,0,0.000165,0.000481,0.002557,0.000398,0.004586,0,0.000023,0.000462,0,0.000788,0.001045,0.00092,0.000743,0.000811,0.000044,0.000829,0.000014,0.000052,0.000151,0.000715,0.001944,0.000031,0.00093,0.001815,0.001793,0.001221,0.001331,0.001412,0.000585,0.001092,0.000255,0.00005,0.000045,0.002224,0.000803,0.002558,0.000693,0.000597,0.000843,0.00008,0.000047,0.000235,0.000506,0.000032,0.002543,0.000053,0.005915,0.002426,0.000603
848,Fusobacterium,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,0.066067,0.000363,0.000389,0.001408,0.000315,0.018468,0.000545,0.029587,0.012635,0.000212,0.000126,0.000088,0.000581,0.000271,0.000152,0.000188,0.020608,0.000362,0.001807,0.000449,0.000142,0.000492,0.000938,0.000996,0.000027,0.000038,0.001488,0.001905,0.000499,0.00065,0.002839,0.001592,0.000746,0.002668,0.000183,0.000058,0.000654,0.001612,0.00386,0.000102,0.000079,0.000064,0.000761,0.002902,0.001308,0.001198,0.002213,0.000448,0.001115,0.000407,0.001058,0.000146,0.000782,0.002539,0.001346,0.000151,0.006082,0.000183,0.000717,0.001488,0.000918,0.000264,0.000064,0.000066,0.000088,0.000133,0.000011,0.0001,0.000077,0.000015,0.000041,0.000036,0.000037,0.000018,0.000037,0.000049,0.00001,0.000039,0.000026,0.000054,0.000183,0,0.000045,0,0.000018,0,0.000035,0,0.000049,0.000031,0.000093,0,0,0.000032,0.000025,0.000017,0,0.000054,0.000076,0.000016,0.000022,0.000177,0,0.000017,0.000025,0.000012,0.000014,0.000012,0,0.000047,0.0001,0.000026,0.00003,0.000028,0.000093,0.000022,0.000033,0,0.000012,0.00003,0.000127,0.000036,0.000037,0.000024,0.000019,0.000084,0.000121,0.000037,0.000049,0.000106,0.007701,0.000028,0.000084,0.000012,0.000699,0.000085,0,0.000024,0.000014,0.000158,0.000068,0.000018,0.000014,0.00008,0.001366,0.000014,0.000051,0.000011,0.000338,0.000044,0.000015,0.000039,0.000032,0.000031,0.000041,0.000043,0.000011,0.000027,0.000083,0.000082,0.00002,0.000145,0.000076,0.000074,0.000026,0.000048,0.000019,0.000186,0.000129,0.002012,0.000013,0.000021,0.000046,0.000041,0.000269,0.000016,0.000024,0.000068,0,0.000043,0.000392,0.000066,0.000035,0.00004,0.00009,0.000039,0.000042,0.00003,0.000012,0.000051,0.000057,0.00002,0.000023,0.002202,0.000071,0.000025,0,0.000043,0.000053,0.00003,0.000046,0.000203,0.000025,0,0.000024,0.000163,0.00008,0.000026,0.000033,0.000071,0.000043,0.000776,0.003199,0.000045,0,0.000021,0.000049,0.000042,0.000369,0.00001,0.000014,0.000037,0.000116,0.000082,0.000038,0.000059,0.006511,0.00002,0.000062,0.000031,0.000035,0.000038,0.000012,0.000015,0.000038,0.000088,0.000067,0.000032,0.000016,0.000057,0.000134,0,0,0,0.000077,0.0001,0.000388
1257,Peptostreptococcus,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,0.06404,0.000181,0.000219,0.000524,0.000187,0.000278,0.000543,0.000022,0.000011,0.00018,0.000063,0.000047,0.00014,0.000352,0.000024,0.000182,0.000014,0.000254,0.000157,0.000176,0.00008,0.000197,0.000063,0.00022,0,0,0.000096,0.000111,0.000097,0.000109,0.000263,0.000168,0.000109,0.000594,0.000039,0.000019,0.00009,0.00032,0.000548,0,0.000014,0,0.000186,0.000395,0.000261,0.000363,0.000507,0.000133,0.000366,0.000193,0.000187,0.000027,0.000322,0.000213,0.002043,0.000064,0.000024,0.000131,0.000199,0.000268,0.000407,0.000228,0.000025,0.000021,0.000032,0.000071,0.000016,0.000024,0.000047,0.000012,0.000179,0.000195,0.000071,0.000022,0.000033,0.000096,0.000018,0.00009,0.000015,0.000078,0.000095,0.00002,0.000112,0.000027,0.000033,0,0.000078,0.000013,0,0,0.00122,0,0,0.000104,0.000034,0.000031,0,0.000037,0.000099,0.000013,0.000032,0.000054,0,0.00005,0.000079,0.000011,0.00003,0.000019,0.000015,0.000101,0.000086,0.000019,0.000038,0.000043,0.000044,0.000048,0.000043,0.000014,0.000054,0.000065,0.000106,0,0,0,0.000015,0.000066,0.000083,0.000017,0.000088,0.000057,0,0.000013,0.000038,0,0,0.000219,0,0.000017,0.000015,0.000079,0.000062,0.000044,0,0.000062,0.000017,0.000045,0.000066,0.000026,0.00017,0.000011,0.000027,0,0.00002,0.000016,0.000042,0.000014,0.000012,0,0.000114,0.000019,0.000055,0.000043,0.000096,0.000034,0.000074,0.000016,0.000025,0.000103,0.000034,0.000011,0.00001,0.000084,0.00011,0.00004,0.000094,0.000086,0.000043,0.000092,0.000058,0.00004,0.000101,0.00003,0.000018,0.000012,0.000021,0.000018,0.000057,0,0.000013,0.000039,0.000038,0.000018,0.000035,0.000032,0.000062,0.00002,0.000011,0.000022,0.000124,0,0.000126,0.000061,0.000062,0.000011,0.000058,0.000012,0.000063,0.000015,0.000019,0.000033,0.000033,0.000013,0.000189,0.000116,0,0.000033,0.000049,0.000022,0.000041,0.000023,0.000104,0.000066,0.000036,0.000053,0.000026,0.000028,0.000012,0.000073,0.000041,0.00007,0.000132,0.00005,0.000017,0.000045,0.000019,0.000014,0.00003,0.000014,0.000026,0.000097,0.000082,0,0.000014,0.000051,0.000032,0.000019,0.000012
123375,Solobacterium,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,0.051153,0.000126,0.000086,0.000257,0.000253,0.000098,0.00007,0.000036,0.000019,0.000602,0.000071,0.000155,0.000211,0.000143,0.000043,0.000172,0.000011,0.000298,0.000174,0.000535,0.000509,0.001311,0.000076,0.00005,0,0,0.000069,0.000033,0.000054,0.00005,0.000227,0.000132,0.000153,0.000256,0.000033,0,0.000152,0.000233,0.000496,0,0.000011,0,0.000118,0.000422,0.000119,0.000619,0.000323,0.000218,0.000368,0.000053,0.000143,0.000024,0.000126,0.000247,0.000442,0.000028,0.000013,0.000072,0.000388,0.000299,0.000095,0.001033,0.000016,0.000012,0.000053,0.000027,0,0.000013,0.000025,0,0.000149,0,0.00006,0,0.000011,0.00005,0,0.000013,0,0.000024,0.000055,0,0.000017,0,0,0,0,0,0,0,0.000051,0,0.000011,0,0.000017,0.000013,0,0.000018,0.000011,0,0.000011,0.000025,0,0,0.00001,0,0,0,0,0.000035,0.000022,0.000011,0,0,0.00004,0.000175,0.000011,0,0.000016,0.000013,0.000027,0,0,0,0,0.000018,0.000027,0,0.000034,0.000029,0,0,0.000017,0,0,0.000076,0,0,0,0.000024,0.000012,0.00001,0,0.000028,0,0,0.00001,0.000019,0.000378,0,0,0.000014,0,0,0,0.000013,0,0,0.000024,0,0.000011,0.000041,0.000035,0.000164,0,0.000011,0,0.000055,0.000022,0,0,0.000027,0.000067,0.000012,0.000034,0,0,0.000015,0,0.000011,0.000163,0.000016,0,0,0.000018,0,0.000037,0,0,0,0,0.000038,0.000034,0,0.000035,0,0,0.00003,0.00005,0,0,0.000025,0.000014,0,0,0,0.000022,0,0,0,0.000035,0,0.000546,0.000037,0,0.000013,0.000013,0.000031,0,0,0.000013,0,0.000016,0.00002,0,0.000011,0,0,0.000011,0.000015,0.000011,0.000081,0,0.000063,0,0,0,0,0,0.000018,0.000016,0,0,0,0.000055,0.000014,0.000035
816,Bacteroides,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,0.031522,0.016654,0.042307,0.028178,0.029513,0.257674,0.040497,0.011986,0.031153,0.002793,0.001576,0.000571,0.00104,0.007254,0.000563,0.001115,0.145369,0.002664,0.01535,0.002268,0.007132,0.0206,0.069767,0.570823,0.128954,0.201993,0.316838,0.709831,0.610566,0.554817,0.276125,0.638009,0.201624,0.251167,0.812168,0.841867,0.332846,0.479913,0.422755,0.927811,0.90793,0.953512,0.294953,0.14902,0.455193,0.216986,0.170802,0.377907,0.127556,0.641665,0.425513,0.508413,0.561787,0.556531,0.198001,0.656367,0.747018,0.624929,0.139259,0.261102,0.584113,0.848995,0.301096,0.174925,0.362662,0.446933,0.455551,0.210235,0.438208,0.710254,0.472184,0.747998,0.422423,0.715027,0.714258,0.287996,0.845997,0.688234,0.811805,0.436754,0.355208,0.508545,0.609908,0.848213,0.717687,0.846589,0.5614,0.819937,0.546042,0.896527,0.17612,0.01759,0.785539,0.702297,0.838232,0.820575,0.874721,0.192528,0.572972,0.719632,0.674757,0.085636,0.635359,0.876219,0.654011,0.810514,0.82738,0.806066,0.704349,0.446099,0.59592,0.854413,0.76613,0.68233,0.341239,0.615685,0.634814,0.773097,0.550961,0.474673,0.545224,0.874954,0.913737,0.857663,0.670349,0.575619,0.398405,0.75658,0.553938,0.24538,0.917972,0.881179,0.356703,0.843683,0.889077,0.211057,0.90681,0.772311,0.810803,0.275013,0.695371,0.722954,0.907366,0.531297,0.851295,0.81059,0.658789,0.820625,0.231263,0.865841,0.702147,0.314769,0.768938,0.724435,0.638146,0.777733,0.556547,0.793903,0.622788,0.175524,0.692382,0.6618,0.587163,0.661988,0.146701,0.260772,0.859794,0.218991,0.465777,0.793045,0.834887,0.320227,0.377912,0.563175,0.626754,0.64227,0.776013,0.519848,0.742895,0.641571,0.181586,0.376891,0.864335,0.694339,0.542918,0.80073,0.650697,0.913559,0.748244,0.783776,0.606925,0.809144,0.850047,0.866372,0.424234,0.857831,0.649305,0.77217,0.623345,0.837191,0.27495,0.351973,0.368951,0.839669,0.806174,0.928084,0.629147,0.812208,0.86178,0.617754,0.371695,0.705101,0.254618,0.655965,0.737353,0.420918,0.491122,0.761257,0.531691,0.851155,0.589824,0.429544,0.353958,0.24191,0.660843,0.249015,0.715571,0.697917,0.782542,0.613836,0.507732,0.619694,0.838967,0.738771,0.832669,0.49393,0.623417,0.34335,0.570735,0.413042,0.393026,0.919197,0.35446,0.687761,0.474207,0.691819,0.879405
1301,Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,0.024269,0.01499,0.029358,0.039288,0.017605,0.006556,0.008829,0.015251,0.004054,0.014002,0.02125,0.043151,0.09084,0.087316,0.019077,0.096646,0.002787,0.166701,0.007836,0.025276,0.019599,0.070633,0.006902,0.00325,0.000107,0.000097,0.056771,0.003159,0.001322,0.001184,0.007827,0.002699,0.002268,0.010024,0.00069,0.000285,0.001794,0.004134,0.008214,0.000549,0.001411,0.000336,0.002079,0.004727,0.002729,0.004377,0.005955,0.001925,0.005258,0.0029,0.001793,0.000675,0.00271,0.003047,0.007618,0.002018,0.000346,0.002742,0.003083,0.003705,0.003919,0.000933,0.000917,0.001234,0.002907,0.000371,0.001189,0.00162,0.002659,0.00044,0.00073,0.000337,0.000967,0.000418,0.000588,0.001281,0.000176,0.004753,0.000266,0.000681,0.002147,0.000343,0.002653,0.000242,0.000267,0.00017,0.000476,0.000185,0.00014,0.000231,0.004148,0.000196,0.000228,0.000591,0.000501,0.000381,0.000291,0.000365,0.000674,0.000306,0.000713,0.002061,0.000094,0.002521,0.000663,0.00016,0.00029,0.000254,0.000235,0.001104,0.000425,0.000354,0.000508,0.000793,0.000747,0.00064,0.00077,0.000189,0.001194,0.000611,0.001457,0.000402,0.000484,0.000481,0.000144,0.00201,0.000628,0.000432,0.000439,0.000895,0.000204,0.000468,0.002212,0.000087,0.000375,0.000737,0.000227,0.00063,0.000196,0.001662,0.004378,0.000326,0.000128,0.000621,0.000406,0.000202,0.000532,0.001005,0.011053,0.000355,0.000489,0.000417,0.00083,0.000813,0.000749,0.000317,0.000171,0.000354,0.002247,0.00014,0.000372,0.00067,0.001836,0.000658,0.001349,0.001615,0.001025,0.001079,0.000266,0.00043,0.000515,0.001012,0.000874,0.000717,0.001256,0.000337,0.000739,0.003381,0.000421,0.000668,0.001431,0.00174,0.000378,0.000407,0.001886,0.000715,0.006769,0.000332,0.000355,0.000319,0.000783,0.000458,0.001213,0.000524,0.002359,0.000509,0.000228,0.000303,0.001237,0.000268,0.004432,0.000678,0.000562,0.00045,0.000308,0.000274,0.000777,0.000395,0.000414,0.000855,0.00131,0.000693,0.027113,0.001216,0.001457,0.000537,0.000907,0.00189,0.000857,0.000208,0.00041,0.000614,0.001941,0.000562,0.00164,0.001546,0.00037,0.000805,0.001421,0.001016,0.001177,0.000773,0.000365,0.000556,0.000415,0.001196,0.000664,0.000157,0.000265,0.000963,0.000483,0.000714,0.000139,0.000815,0.001837,0.001245,0.005383
-1,,none,none,none,none,none,none,0.023809,0.103281,0.107323,0.097447,0.072877,0.057694,0.189342,0.010616,0.005627,0.086864,0.156853,0.178043,0.315069,0.544764,0.032123,0.636106,0.005427,0.311473,0.037436,0.184018,0.022483,0.127086,0.061498,0.076132,0.002071,0.001518,0.06651,0.015456,0.026271,0.038727,0.038238,0.016438,0.021277,0.048394,0.012073,0.008847,0.014755,0.028721,0.077165,0.010214,0.005004,0.00417,0.021998,0.062497,0.046892,0.080572,0.075444,0.065682,0.09359,0.037903,0.03867,0.027611,0.035722,0.036121,0.149057,0.01239,0.011298,0.029601,0.024602,0.031814,0.036756,0.014685,0.015025,0.018652,0.037305,0.021572,0.002825,0.012887,0.025908,0.002644,0.058452,0.019281,0.061699,0.019981,0.011174,0.068211,0.010396,0.018353,0.007801,0.035358,0.021956,0.01214,0.02544,0.005408,0.007331,0.01417,0.019858,0.016374,0.002749,0.00436,0.120197,0.001265,0.002614,0.007845,0.005989,0.015923,0.002751,0.007557,0.078221,0.003404,0.009817,0.05627,0.005954,0.011213,0.021984,0.013785,0.012154,0.004408,0.017955,0.037914,0.017263,0.006337,0.005255,0.010724,0.026897,0.04412,0.01967,0.006745,0.027272,0.008011,0.030262,0.002106,0.006581,0.007743,0.027009,0.011948,0.022532,0.010672,0.037266,0.019748,0.028977,0.011069,0.023261,0.002571,0.005218,0.022046,0.003237,0.007291,0.007094,0.035658,0.016199,0.007176,0.007546,0.027827,0.006752,0.007199,0.008291,0.04058,0.068898,0.006391,0.021002,0.002419,0.0102,0.004557,0.021616,0.003684,0.004826,0.002612,0.013752,0.003836,0.013005,0.010642,0.015309,0.028239,0.0118,0.005205,0.009704,0.053005,0.008271,0.005095,0.002745,0.04015,0.032232,0.017481,0.013055,0.015262,0.013298,0.021039,0.015836,0.014649,0.081283,0.011556,0.006058,0.003448,0.009439,0.013259,0.020798,0.004867,0.009265,0.008683,0.021552,0.027978,0.02736,0.038882,0.050195,0.008087,0.010097,0.007464,0.036853,0.002142,0.064524,0.024869,0.036103,0.005335,0.015204,0.005052,0.017298,0.002799,0.008558,0.023173,0.029527,0.01234,0.018366,0.026216,0.003536,0.010571,0.018554,0.005015,0.044741,0.014161,0.020252,0.02236,0.022366,0.008786,0.012871,0.01697,0.006076,0.024957,0.027875,0.017091,0.036729,0.055086,0.010674,0.018926,0.015503,0.006747,0.011972,0.012358,0.017834,0.02932,0.027317,0.01183,0.006932,0.016047,0.027922,0.012519,0.02347
1485,Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.017826,0.063648,0.136259,0.138559,0.045373,0.036837,0.033642,0.026856,0.011458,0.017801,0.027232,0.01719,0.060586,0.025323,0.008097,0.011992,0.026143,0.024875,0.016587,0.041793,0.007754,0.021673,0.067565,0.077747,0.003209,0.004849,0.080268,0.082683,0.008188,0.010353,0.025332,0.013863,0.014668,0.04351,0.006223,0.005035,0.016472,0.02041,0.05082,0.002677,0.002369,0.002269,0.023479,0.122636,0.03238,0.044841,0.055824,0.027094,0.101164,0.015918,0.035034,0.005039,0.020727,0.02587,0.040761,0.00756,0.005051,0.016703,0.011894,0.066809,0.023117,0.005837,0.006191,0.006446,0.008596,0.014644,0.000955,0.011517,0.027856,0.000937,0.021831,0.006178,0.016694,0.005404,0.002997,0.017119,0.001972,0.009748,0.001203,0.009522,0.010996,0.001886,0.00907,0.001338,0.0033,0.001007,0.008514,0.003186,0.000372,0.000582,0.024148,0.000341,0.000605,0.0032,0.002687,0.003858,0.000818,0.006331,0.009895,0.00409,0.008005,0.019862,0.000223,0.003066,0.004757,0.002369,0.004043,0.001101,0.002519,0.011887,0.014308,0.000804,0.001495,0.003058,0.082229,0.018057,0.007056,0.001404,0.009323,0.004002,0.009145,0.000452,0.00787,0.000755,0.004887,0.005145,0.009931,0.003012,0.00932,0.010713,0.002134,0.000942,0.005496,0.00098,0.003307,0.047882,0.004127,0.003574,0.003089,0.01832,0.010514,0.00354,0.002279,0.008197,0.004439,0.002485,0.003911,0.006857,0.026999,0.00321,0.004669,0.001875,0.00225,0.002108,0.007144,0.002253,0.003728,0.000752,0.007106,0.001756,0.005637,0.004252,0.007368,0.005377,0.003336,0.002541,0.001384,0.021134,0.005983,0.001612,0.001747,0.010311,0.013634,0.00654,0.010727,0.006215,0.004517,0.011578,0.006045,0.005741,0.057637,0.003619,0.002348,0.001588,0.007779,0.005863,0.006161,0.003019,0.004686,0.005478,0.020306,0.00187,0.005096,0.011915,0.011101,0.001526,0.00154,0.004538,0.008483,0.000525,0.017857,0.012167,0.01442,0.001836,0.002138,0.000314,0.010702,0.00064,0.003075,0.010156,0.00638,0.007267,0.007142,0.012488,0.005749,0.00504,0.005612,0.002068,0.01259,0.002575,0.003281,0.003073,0.00612,0.006261,0.00769,0.007784,0.001069,0.01518,0.010979,0.009624,0.012089,0.008386,0.001546,0.007793,0.002759,0.003174,0.006088,0.001053,0.008904,0.012233,0.013105,0.001701,0.002305,0.005674,0.011975,0.003039,0.003078
