,LS001,LS002,LS003,LS004,LS005,LS006,LS007,CD-SRS301865,CD-SRS301866,CD-SRS301867,CD-SRS301868,CD-SRS301869,CD-SRS301870,CD-SRS301871,CD-SRS301872,CD-SRS301873,CD-SRS301874,CD-SRS301875,CD-SRS301876,CD-SRS301877,CD-SRS301878,CD-SRS301879,UC-SRS071964,UC-SRS071970,UC-SRS071978,UC-SRS071981,UC-SRS071982,UC-SRS071988,HE-SRS011061,HE-SRS011084,HE-SRS011134,HE-SRS011239,HE-SRS011271,HE-SRS011302,HE-SRS011405,HE-SRS011452,HE-SRS011529,HE-SRS011586,HE-SRS012273,HE-SRS012902,HE-SRS013158,HE-SRS013215,HE-SRS013687,HE-SRS013951,HE-SRS014235,HE-SRS014923,HE-SRS014979,HE-SRS015065,HE-SRS015217,HE-SRS015578,HE-SRS015663,HE-SRS016018,HE-SRS016095,HE-SRS016335,HE-SRS016495,HE-SRS016585,HE-SRS017103,HE-SRS017433,HE-SRS018427,HE-SRS018656,HE-SRS020328,HE-SRS020869,HE-SRS022713
A(RNA_processing_and_modification_),0.000151554668602077,0.00011356303105544,0.0000908890863043913,0.0000650046289330701,0.0000974650400187956,0.0000396231621878414,0.0000817059037038356,0.0000994558337239695,0.0000669573342565294,0.0000375908383409998,0.000355215651530618,0.000517798554896095,0.000191155338674602,0.0000823437930266279,0.000123886625922468,0.00000837875103957934,0.0000410127006245178,0.0000269312178794375,0.000112784805591745,0.0000103045186977899,0.000193885523077553,0.000139252759903276,0.00316577730340645,0.0000523642369414878,0,0.000140440555304003,0.00020577642017683,0.0000859931529014694,0,0.0000262294469373093,0.0000087123524874371,0.00000282233451283391,0.00000497014535927328,0.00000116206697704221,0.00000749750688907182,0.0000181172380493705,0.00000898443992289659,0.00000451624541111124,0.00000843122410110794,0.00000480109957155792,0.0000290619685101917,0.00000851620764392113,0.00000737099434497342,0.00000536272719773089,0.00000166611544595549,0.00000403391543341763,0.0000012284921854028,0.0000160195009307008,0.0000178355431095375,0.0000190273222957767,0.00000137553181125118,0.0000197746296953195,0.0000152969311429328,0.00000551523342317156,0.00000594126675627127,0.000561144659842542,0.000026231266421075,0.0000000540094482684234,0,0.00000785858791710143,0.00000427194586889685,0.000000910936228841614,0
B(Chromatin_structure_and_dynamics_),0.000384632087182974,0.0000578374368788969,0.0000318567802764923,0.0000976652190943241,0.000126428093180315,0.000145322132506021,0.0000685581960249332,0.0000682796014079548,0.0000548710672574937,0.000109900652000438,0.00000767558321257951,0.0000145613638412488,0.0000152958122223019,0.0000219789755827038,0.0000265243011993792,0.0000149376101126038,0.0000600031398627696,0.0000610880708973731,0.00011178674390708,0.0000630242321506489,0.000129785625406334,0.000132265712083293,0,0,0.0000215473037369254,0.0000287490305488069,0.0000141439968631185,0.0000152915119152273,0.0000201767188339487,0.0000309537228914627,0.0000280216468464133,0.000017644318898066,0.0000144926235876006,0.000123727014965005,0.00000831134449422321,0,0.00000797538646656629,0.000087223508095183,0.000073055510878278,0,0.000000551810186906468,0.0000012137509334099,0.0000176385876234409,0.000113853614715663,0.0000636405803206013,0.0000594520472161156,0.0000561632308028677,0.0000129310610040878,0.0000604915765628221,0.0000113599560710719,0.0000239243508172036,0.0000131749086752255,0.0000101257363629175,0.0000278130475887777,0.000150296160054352,0,0.00000924822280933713,0.00000197853355368846,0.0000131428459773811,0.000011013575165576,0.0000392296633575354,0.0000187012363064672,0
C(Energy_production_and_conversion_),0.0605894762324771,0.0576945236010614,0.0593302791722515,0.0557736771986783,0.0608397770328199,0.0558708697402318,0.0601291563687764,0.048183856738474,0.0453156250465471,0.0564843241974821,0.0438984421915397,0.0452811699205375,0.049214741620689,0.05556504604914,0.04433910145484,0.0478464421074293,0.0478595111617406,0.0542941819492797,0.0537998614381335,0.0549136977926284,0.0515554590311619,0.0536579317567956,0.050301231809032,0.0492382841353086,0.0354811249142908,0.040909487083581,0.0570259057857504,0.0516295390930099,0.0496422695167788,0.0502361214659936,0.0437622239405119,0.0529624694019233,0.04321743007798,0.0468862809366356,0.0458194307715628,0.0498723867291361,0.0505194071847524,0.0392123365993533,0.0449098085725377,0.0514849473175496,0.0495327383881392,0.0518175244111654,0.0496860552944549,0.0430108493741189,0.0463936127340241,0.0428958615032559,0.0451589667062627,0.0459061716449796,0.0453024570031182,0.0491244466217439,0.0503914780638407,0.0553174548986922,0.0477287512041929,0.0412991142882485,0.0438112561338375,0.0772984046497081,0.0535796440805876,0.053759037032131,0.0490778678816809,0.0537478584670638,0.0467285304929836,0.0509953844783546,0.0482691718655487
"D(Cell_cycle_control,_cell_division,_chromosome_partitioning_)",0.0124025752457123,0.014087289380213,0.0146088471649163,0.015016029033762,0.0156018833856747,0.0141058313944988,0.0137740591045569,0.0131663269180823,0.013362031131141,0.0133993068125554,0.0140433717066855,0.0147520822847425,0.014815895666094,0.0135876661605655,0.0134574391532107,0.0136625284084705,0.0125825831372764,0.0131747753203794,0.0135368694848238,0.0144653983925508,0.0126427000687936,0.0134959363942708,0.00614027270916503,0.0129275207603086,0.00592212749294062,0.0251221573647563,0.0120330331093815,0.011646121612842,0.0128439371370658,0.0135959290713372,0.0162709220302311,0.0132673446303637,0.0141398084790999,0.0157532965698968,0.0122187875387333,0.0113384593716151,0.0144718553863152,0.0169109718651795,0.0170892325241136,0.0119991932698004,0.0120909635807894,0.00924113761963308,0.0142107474894816,0.0183226987709408,0.0144965548986197,0.0155321694762712,0.0163412505705519,0.0145200661539418,0.0146898398979566,0.0124146963425784,0.0149978401083691,0.0137149749754116,0.0131744084524448,0.0157966117047612,0.0150099839733656,0.010544451678443,0.0134278683570816,0.0123423871229294,0.0140858328845639,0.0146330826244022,0.0158345633161784,0.0124440805423331,0.0126628263554757
E(Amino_acid_transport_and_metabolism_),0.0764889778634738,0.0891583367877349,0.0870541434391012,0.0827399737427154,0.0909474037358963,0.0759964489500462,0.0900658198988369,0.089231242788881,0.0855307610552545,0.0874658291810666,0.100078675562064,0.0974730511427017,0.0860453173378042,0.0810730640672912,0.0881976455073723,0.0739170628194401,0.081830528919997,0.0883356201979273,0.0903886289426926,0.0827749760986607,0.0954101766742921,0.0872127100837966,0.0858808929992999,0.0700352563326617,0.0553040714977489,0.0738645329121316,0.0743234260345247,0.0711993958066711,0.0643788932414834,0.0695568644902911,0.0604607152602231,0.0682562769293751,0.0675635546929031,0.0750973611570698,0.0624353130671584,0.0687207022273545,0.0691599439400166,0.0559176985669926,0.0588279309962406,0.0724779386289769,0.0651293635913876,0.0668478091334617,0.070668735572885,0.0632716980162586,0.0673966166198556,0.0724544179580655,0.0699390308175741,0.0695427136592696,0.0792237077551318,0.0717165294786899,0.0695327719705994,0.0693101655224815,0.0583892120632226,0.049326796861152,0.077632516770723,0.0909119888985155,0.0746790677879255,0.0704754622588552,0.069644978368555,0.0670228323390799,0.0638576442032199,0.0687384365577593,0.069044896324604
F(Nucleotide_transport_and_metabolism_),0.0368526642168851,0.0343091277942335,0.0343009802043191,0.0346915222338722,0.0398817387447726,0.0330772356032408,0.0351446209559568,0.0448811028110592,0.0473627476098957,0.0340016365101874,0.0416603704397868,0.0413922550566708,0.0396927472790653,0.035996352405376,0.0449098643600366,0.0399760396593548,0.0423493829103364,0.037394949053615,0.0342921834906828,0.0346511655709604,0.0362180188655143,0.037715580674476,0.0207118428181606,0.0296062432829236,0.0592247944185441,0.0250587614200682,0.0282397810981586,0.0284553339862923,0.0292621460738179,0.0339517217054054,0.0345382535964158,0.0329007105128005,0.0331589598303864,0.037927073188415,0.0307833915188996,0.0325169915035469,0.0410747691082648,0.0330798328558274,0.0321143088042624,0.0296585767170059,0.030342244522191,0.0278856072209937,0.0388739188061082,0.035564546847611,0.0350645751066485,0.0352071456031368,0.0346362030092056,0.0318963975774663,0.0364390556545911,0.0314298482122069,0.0343111316138652,0.0317107716731817,0.0293859208274053,0.0304672869434045,0.0362827912227919,0.0256307684512634,0.0328016048567551,0.0358737818813959,0.0299579577271939,0.0335705223285274,0.0385860444574791,0.032314666634826,0.0289419222674229
G(Carbohydrate_transport_and_metabolism_),0.0652344765454278,0.0917221120936361,0.0888423568442877,0.0866130267797515,0.0883538972537345,0.0821851963746626,0.0856389964030174,0.101693123159632,0.100888340318408,0.107952945118994,0.11884062148538,0.118348538398785,0.111102485502483,0.111102004840865,0.1104409012777,0.113650408225132,0.0971274178457746,0.10255998149026,0.108326939686279,0.105905536695886,0.112855078028367,0.105598939326828,0.0662567376193941,0.0968705151517595,0.0728830721308043,0.0866750016389229,0.107221350706764,0.100567180816912,0.0901492749995904,0.0757903451703577,0.0720061817766125,0.0794151831262484,0.0815688288713538,0.0717791750477426,0.0902251890054024,0.100485596662015,0.0762761253936195,0.0677600335282929,0.0793961087023018,0.0949443386127736,0.0929592363774178,0.104773617391214,0.0748083584821623,0.078732805358992,0.077124628676581,0.0795285740309068,0.0772767389378136,0.0816330782911185,0.0910849307942774,0.0903556324718283,0.0774660611558058,0.0779843380448305,0.0793839301219869,0.0709516487852014,0.0754226652914912,0.104332435754276,0.0870900096675675,0.0876131388678504,0.0886452098200742,0.0630758518226349,0.06682704276392,0.0843426644218328,0.0937273637348439
H(Coenzyme_transport_and_metabolism_),0.0428629739084361,0.040764025819591,0.0423146191309576,0.0398515478899794,0.036098450761838,0.0397418718608609,0.0397999592384963,0.0342191221241801,0.0308693043065041,0.0381280032522709,0.0381680183687736,0.0373898859583016,0.0368448181072977,0.0377642237757134,0.0313164889594625,0.0322409258382227,0.03459730999575,0.0372843409198511,0.0396200286925516,0.0411507614369008,0.0345297292260724,0.0402574219398269,0.0294131627245035,0.0421342783615492,0.0505246618496824,0.0328529179076153,0.036785110487883,0.0403489004184648,0.0408832065610836,0.0425390388611135,0.0335942135472899,0.0402240699535881,0.0405042653522594,0.0322585210621053,0.0428864372210085,0.0461367313247758,0.0400945583945318,0.0318883283802092,0.0322874147996088,0.0452477189570965,0.0430814643926921,0.0421348752544219,0.040000771034909,0.0309799650551079,0.0398501563243023,0.0349467059951896,0.0334573225793073,0.0403068972222396,0.0374542527245189,0.0425033875862568,0.0402160825883574,0.0445220307807911,0.0351800265672573,0.0290282058291357,0.0317973568978127,0.0395520205730874,0.0462836936788355,0.0455279047815461,0.0412265813740199,0.0442961112867125,0.0361850538286775,0.0399194744995591,0.0469219568229692
I(Lipid_transport_and_metabolism_),0.021043167069045,0.0235447058807782,0.0230956360193406,0.022228084888423,0.0219725669916384,0.0214485470412709,0.0226585253571052,0.0215219205956261,0.0201991111123465,0.0203488762463995,0.0240570127706026,0.0235038589142358,0.0214432501410162,0.0192152739548759,0.0217498249021889,0.0193366921529054,0.0205618359277829,0.0190367254893015,0.0206234700649822,0.0202980861481123,0.0212216283364162,0.0199275132785,0.0180557165987008,0.0207333788847707,0.0209324103433903,0.0211588320340603,0.0209649130828274,0.021021375304122,0.0219711470952021,0.0212220220576557,0.0220848512480328,0.0229670642994083,0.0231712990023626,0.0211249649637942,0.0211413820135339,0.0229463080109832,0.0228275982141351,0.0192788076638492,0.0203279536726275,0.0222846589025778,0.0203147931234153,0.0216479956319275,0.0236099686342297,0.0213179929626965,0.0213637504881388,0.0193029320144334,0.0195473225213392,0.0213327952581087,0.019849080190054,0.0210983926106873,0.0223011489214689,0.0230350904221546,0.022864609166731,0.0218369381823603,0.0208997369260487,0.0238437197520484,0.0226302398531862,0.0229070942836018,0.0214541226627575,0.0236697334756799,0.0205003318947388,0.0214627320285286,0.0213800844450767
"J(Translation,_ribosomal_structure_and_biogenesis_)",0.0832357147059621,0.0759214942310758,0.0764031977763181,0.0805959830331405,0.0985239905838008,0.0784680167601222,0.0803736708783361,0.0902862921250103,0.0950935594536154,0.0729055039423093,0.0824586374061609,0.0895597446467176,0.0824124592151164,0.0721653295023352,0.0859031393655234,0.0812607606260748,0.0850175869115226,0.0803585418378922,0.0733778675246097,0.0745400941669763,0.0809676741301945,0.0788731684068071,0.0635931697196592,0.0688958706336635,0.0537059859417136,0.0650606243678262,0.0618052078368767,0.0615029118991598,0.0717124175146811,0.0778930368918471,0.0991393161698461,0.087751901359542,0.0824603915448758,0.0907281627584908,0.0663219984422344,0.0586492608116847,0.0840279505795543,0.0903606942186141,0.0915715035038188,0.0647764260875662,0.0637854434388867,0.0601507196482461,0.0851997177662733,0.0974899040927655,0.0807223534070993,0.0790785398355863,0.0932565218654091,0.0778897186592711,0.0879133020690715,0.0710573884691961,0.0859667576972644,0.0760126343660378,0.0822391486851727,0.104125462234265,0.0800318614723413,0.0546398085498758,0.0753464016254708,0.0705256995865485,0.0665370473609463,0.0946468292451392,0.0940322659251569,0.083829255512754,0.063554632898247
